epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,19114.6,1.67331,1.71563,1.55513,0.60988,0.33655,0.4117,0.2696,1.64347,1.83415,1.51116,0.0092575,0.0092575,0.0092575
8,21928.1,1.64658,1.64776,1.53215,0.4963,0.19803,0.3534,0.24321,1.66991,1.72447,1.52148,0.00913375,0.00913375,0.00913375
9,24713,1.63159,1.61043,1.51625,0.68793,0.45529,0.51741,0.34002,1.62115,1.35444,1.49166,0.00901,0.00901,0.00901
10,27489.9,1.60262,1.57063,1.49546,0.64242,0.36519,0.4408,0.30677,1.61663,1.62929,1.475,0.00888625,0.00888625,0.00888625
11,30269.3,1.58856,1.54434,1.49049,0.65306,0.31726,0.48955,0.30234,1.65008,1.45303,1.55345,0.0087625,0.0087625,0.0087625
12,33046.2,1.57151,1.52025,1.48037,0.65942,0.3232,0.49378,0.3087,1.67683,1.26074,1.50264,0.00863875,0.00863875,0.00863875
13,35819.8,1.5531,1.47456,1.4627,0.64052,0.32876,0.48546,0.29979,1.73298,1.3252,1.53847,0.008515,0.008515,0.008515
14,38591.9,1.54045,1.46144,1.45446,0.71429,0.47243,0.52191,0.36485,1.53736,1.25048,1.39237,0.00839125,0.00839125,0.00839125
15,41352.3,1.52185,1.42566,1.44168,0.67733,0.45022,0.48557,0.32795,1.57755,1.38581,1.44452,0.0082675,0.0082675,0.0082675
16,43943,1.51727,1.41999,1.43963,0.62525,0.22131,0.4264,0.28699,1.51999,1.49381,1.43092,0.00814375,0.00814375,0.00814375
17,46716.8,1.49903,1.39531,1.43328,0.65278,0.31736,0.48913,0.33376,1.50412,1.27551,1.37005,0.00802,0.00802,0.00802
18,49490.8,1.48958,1.3765,1.42012,0.75,0.47292,0.54895,0.35966,1.59787,1.31547,1.47191,0.00789625,0.00789625,0.00789625
